timestamp_utc,symbol,interval,signal,trade_direction,open,high,low,close,candle_dir,total_volume,vol_ratio_vs_avg,delta,delta_ratio,poc_price,max_bull_stacked,max_bear_stacked,confluence_score,confluence_stars,follow_through,is_news_candle
2022-01-01 00:25,BTCUSDT,1m,BULL_ABSORPTION,LONG,46395.53,46400.38,46380.32,46385.31,BEAR,19.1156,0.381,-5.3292,0.2788,46380.0,0,0,0,1,YES,NO
2022-01-01 00:26,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46385.32,46393.59,46385.31,46386.29,BULL,16.6976,0.333,2.6,0.1557,46385.0,0,0,0,1,YES,NO
2022-01-01 00:27,BTCUSDT,1m,EXHAUSTION_BEAR,LONG,46386.29,46386.29,46345.1,46354.88,BEAR,9.6808,0.193,1.1768,0.1216,46345.0,0,0,0,1,YES,NO
2022-01-01 00:28,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46354.88,46380.55,46352.51,46361.38,BULL,25.2918,0.504,1.1874,0.0469,46355.0,0,0,0,1,NO,NO
2022-01-01 00:29,BTCUSDT,1m,BULL_ABSORPTION,LONG,46361.38,46379.99,46352.41,46375.42,BULL,12.7458,0.254,1.4142,0.111,46350.0,0,0,0,1,NO,NO
2022-01-01 00:30,BTCUSDT,1m,BULL_ABSORPTION,LONG,46375.42,46386.28,46360.19,46365.71,BEAR,26.765,0.534,4.449,0.1662,46360.0,0,0,0,1,YES,NO
2022-01-01 00:31,BTCUSDT,1m,NONE,—,46365.72,46377.84,46365.71,46375.01,BULL,7.8524,0.157,-1.2668,0.1613,46365.0,0,0,0,1,N/A,NO
2022-01-01 00:32,BTCUSDT,1m,NONE,—,46375.0,46393.83,46375.0,46385.05,BULL,19.788,0.395,-2.3816,0.1204,46375.0,0,0,0,1,N/A,NO
2022-01-01 00:33,BTCUSDT,1m,CVD_DIV,SHORT,46385.04,46385.05,46375.0,46375.01,BEAR,7.3438,0.146,-3.3302,0.4535,46375.0,0,0,0,1,NO,NO
2022-01-01 00:34,BTCUSDT,1m,NONE,—,46375.02,46446.47,46375.01,46443.65,BULL,20.0774,0.4,4.5682,0.2275,46375.0,0,0,0,1,N/A,NO
2022-01-01 00:35,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46443.65,46489.12,46443.64,46468.94,BULL,30.9078,0.616,7.6302,0.2469,46445.0,0,0,0,1,NO,NO
2022-01-01 00:36,BTCUSDT,1m,EXHAUSTION_BULL,SHORT,46468.95,46508.0,46466.03,46499.99,BULL,20.4608,0.408,-1.768,0.0864,46465.0,0,0,0,1,NO,NO
2022-01-01 00:37,BTCUSDT,1m,BULL_ABSORPTION,LONG,46499.99,46513.46,46471.56,46508.6,BULL,15.46,0.308,-3.4632,0.224,46470.0,0,0,0,2,NO,NO
2022-01-01 00:38,BTCUSDT,1m,CVD_DIV,SHORT,46508.61,46512.05,46499.83,46500.01,BEAR,10.6516,0.212,-3.572,0.3353,46500.0,0,0,0,1,NO,NO
2022-01-01 00:39,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46500.01,46590.0,46498.42,46530.7,BULL,35.6364,0.711,6.156,0.1727,46500.0,0,0,0,1,NO,NO
2022-01-01 00:40,BTCUSDT,1m,BULL_ABSORPTION,LONG,46530.71,46576.78,46503.51,46574.03,BULL,33.8445,0.675,6.0495,0.1787,46505.0,0,0,0,1,YES,NO
2022-01-01 00:41,BTCUSDT,1m,NONE,—,46574.06,46656.28,46561.53,46634.13,BULL,48.4215,0.965,10.7255,0.2215,46560.0,0,0,0,1,N/A,NO
2022-01-01 00:42,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46634.14,46689.42,46627.15,46644.03,BULL,73.1292,1.458,1.566,0.0214,46625.0,0,0,0,1,NO,NO
2022-01-01 00:43,BTCUSDT,1m,NONE,—,46644.03,46670.13,46636.43,46657.84,BULL,16.3933,0.327,3.9991,0.2439,46635.0,0,0,0,1,N/A,NO
2022-01-01 00:44,BTCUSDT,1m,CVD_DIV,LONG,46657.84,46657.84,46610.74,46610.81,BEAR,19.3491,0.386,3.0267,0.1564,46610.0,0,0,0,1,YES,NO
2022-01-01 00:45,BTCUSDT,1m,BULL_ABSORPTION,LONG,46610.81,46621.08,46575.76,46621.0,BULL,29.0925,0.58,2.0439,0.0703,46575.0,0,0,0,1,YES,NO
2022-01-01 00:46,BTCUSDT,1m,NONE,—,46621.01,46647.0,46619.57,46637.7,BULL,23.033,0.459,5.324,0.2311,46620.0,0,0,0,1,N/A,NO
2022-01-01 00:47,BTCUSDT,1m,NONE,—,46637.71,46674.6,46627.48,46672.46,BULL,28.1052,0.56,0.5292,0.0188,46625.0,0,0,0,1,N/A,NO
2022-01-01 00:48,BTCUSDT,1m,NONE,—,46672.47,46731.0,46657.05,46717.92,BULL,59.5575,1.187,6.0705,0.1019,46655.0,0,0,0,1,N/A,NO
2022-01-01 00:49,BTCUSDT,1m,EXHAUSTION_BULL,SHORT,46717.91,46731.39,46684.71,46693.74,BEAR,28.8756,0.576,1.809,0.0626,46685.0,0,0,0,1,YES,NO
2022-01-01 00:50,BTCUSDT,1m,BULL_ABSORPTION,LONG,46693.75,46702.89,46673.57,46691.17,BEAR,29.4606,0.587,-0.0846,0.0029,46675.0,0,0,0,1,NO,NO
2022-01-01 00:51,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46691.17,46708.59,46674.92,46681.73,BEAR,25.2035,0.502,-4.7803,0.1897,46675.0,0,0,0,1,YES,NO
2022-01-01 00:52,BTCUSDT,1m,BULL_ABSORPTION,LONG,46681.73,46683.75,46628.6,46666.75,BEAR,28.2348,0.563,4.6552,0.1649,46630.0,0,0,0,1,NO,NO
2022-01-01 00:53,BTCUSDT,1m,NONE,—,46666.74,46668.13,46633.7,46640.98,BEAR,11.2322,0.224,-0.119,0.0106,46635.0,0,0,0,1,N/A,NO
2022-01-01 00:54,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46640.97,46698.29,46640.97,46659.65,BULL,39.2766,0.783,9.1608,0.2332,46640.0,0,0,0,1,NO,NO
2022-01-01 00:55,BTCUSDT,1m,NONE,—,46659.66,46672.97,46656.14,46671.69,BULL,19.6176,0.391,5.6748,0.2893,46655.0,0,0,0,1,N/A,NO
2022-01-01 00:56,BTCUSDT,1m,BULL_ABSORPTION,LONG,46671.69,46674.46,46658.46,46670.21,BEAR,14.0712,0.281,2.7336,0.1943,46660.0,0,0,0,1,YES,NO
2022-01-01 00:57,BTCUSDT,1m,BULL_ABSORPTION,LONG,46670.21,46690.16,46662.99,46685.42,BULL,18.4825,0.368,6.5575,0.3548,46665.0,0,0,0,1,NO,NO
2022-01-01 00:58,BTCUSDT,1m,NONE,—,46685.42,46685.44,46660.0,46660.01,BEAR,11.0705,0.221,-3.7445,0.3382,46660.0,0,0,0,1,N/A,NO
2022-01-01 00:59,BTCUSDT,1m,BULL_ABSORPTION,LONG,46660.0,46664.18,46630.46,46656.13,BEAR,45.2802,0.903,-29.6604,0.655,46630.0,0,7,0,2,NO,NO
2022-01-01 01:00,BTCUSDT,1m,DELTA_DIV,LONG,46656.14,46661.64,46647.29,46647.29,BEAR,23.3376,0.465,11.7066,0.5016,46645.0,3,0,0,1,NO,NO
2022-01-01 01:01,BTCUSDT,1m,CVD_DIV,LONG,46649.17,46650.6,46580.53,46592.51,BEAR,17.9564,0.358,-9.0944,0.5065,46580.0,0,14,0,2,YES,NO
2022-01-01 01:02,BTCUSDT,1m,BULL_ABSORPTION,LONG,46592.51,46615.97,46574.06,46615.96,BULL,22.6768,0.452,-5.0128,0.2211,46575.0,0,0,0,2,NO,NO
2022-01-01 01:03,BTCUSDT,1m,NONE,—,46615.97,46618.51,46579.34,46579.35,BEAR,9.2864,0.185,-2.616,0.2817,46580.0,0,0,0,1,N/A,NO
2022-01-01 01:04,BTCUSDT,1m,NONE,—,46579.34,46591.4,46575.99,46582.68,BULL,53.1903,1.06,16.6695,0.3134,46575.0,0,0,0,2,N/A,NO
2022-01-01 01:05,BTCUSDT,1m,NONE,—,46582.67,46601.78,46579.9,46590.76,BULL,48.2964,0.963,19.418,0.4021,46580.0,0,0,0,1,N/A,NO
2022-01-01 01:06,BTCUSDT,1m,EXHAUSTION_BULL,SHORT,46590.77,46624.2,46590.76,46618.96,BULL,8.7227,0.174,3.2977,0.3781,46590.0,0,0,0,1,NO,NO
2022-01-01 01:07,BTCUSDT,1m,DELTA_DIV,SHORT,46619.82,46638.86,46608.49,46634.68,BULL,25.1586,0.502,-6.0282,0.2396,46610.0,0,0,0,2,NO,NO
2022-01-01 01:08,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46634.68,46676.47,46634.68,46659.86,BULL,22.8728,0.456,16.1272,0.7051,46635.0,8,0,0,3,NO,NO
2022-01-01 01:09,BTCUSDT,1m,EXHAUSTION_BULL,SHORT,46659.86,46678.13,46658.01,46675.0,BULL,10.8284,0.216,4.486,0.4143,46660.0,0,0,0,1,NO,NO
2022-01-01 01:10,BTCUSDT,1m,NONE,—,46675.0,46747.0,46674.99,46732.96,BULL,22.0584,0.44,1.6184,0.0734,46675.0,0,0,0,1,N/A,NO
2022-01-01 01:11,BTCUSDT,1m,BULL_ABSORPTION,LONG,46732.95,46735.45,46695.8,46723.8,BEAR,9.2504,0.184,-1.0264,0.111,46695.0,0,0,0,1,YES,NO
2022-01-01 01:12,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46723.81,46767.24,46723.8,46729.35,BULL,20.5146,0.409,-1.422,0.0693,46725.0,0,0,0,1,NO,NO
2022-01-01 01:13,BTCUSDT,1m,CVD_DIV,SHORT,46729.34,46753.02,46724.31,46741.39,BULL,25.7004,0.512,-4.3416,0.1689,46725.0,0,0,0,1,NO,NO
2022-01-01 01:14,BTCUSDT,1m,BULL_ABSORPTION,LONG,46741.39,46767.0,46732.44,46766.99,BULL,10.2375,0.204,5.3459,0.5222,46730.0,7,0,0,2,YES,NO
2022-01-01 01:15,BTCUSDT,1m,BULL_ABSORPTION,LONG,46766.99,46787.12,46752.17,46786.21,BULL,16.7566,0.334,-0.4088,0.0244,46750.0,0,0,0,1,YES,NO
2022-01-01 01:16,BTCUSDT,1m,NONE,—,46786.21,46844.77,46782.19,46840.3,BULL,26.1508,0.521,10.4832,0.4009,46780.0,0,0,0,1,N/A,NO
2022-01-01 01:17,BTCUSDT,1m,DELTA_DIV,SHORT,46840.29,46896.74,46840.0,46877.05,BULL,37.7795,0.753,-8.0531,0.2132,46840.0,0,0,0,1,YES,NO
2022-01-01 01:18,BTCUSDT,1m,BULL_ABSORPTION,LONG,46877.04,46877.05,46829.83,46874.76,BEAR,27.2871,0.544,-6.3531,0.2328,46830.0,0,0,0,2,YES,NO
2022-01-01 01:19,BTCUSDT,1m,BULL_ABSORPTION,LONG,46874.77,46900.0,46857.03,46876.81,BULL,13.266,0.264,4.6062,0.3472,46855.0,0,0,0,2,YES,NO
2022-01-01 01:20,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46876.82,46949.99,46876.81,46904.72,BULL,27.1155,0.541,9.9705,0.3677,46875.0,0,0,0,1,YES,NO
2022-01-01 01:21,BTCUSDT,1m,NONE,—,46904.72,46914.73,46868.38,46868.42,BEAR,14.4873,0.289,1.0899,0.0752,46870.0,0,0,0,1,N/A,NO
2022-01-01 01:22,BTCUSDT,1m,NONE,—,46868.41,46885.25,46818.0,46827.0,BEAR,14.9162,0.297,2.0384,0.1367,46820.0,0,0,0,1,N/A,NO
2022-01-01 01:23,BTCUSDT,1m,CVD_DIV,LONG,46827.01,46875.55,46827.0,46855.14,BULL,8.288,0.165,2.414,0.2913,46825.0,0,0,0,1,NO,NO
2022-01-01 01:24,BTCUSDT,1m,BULL_ABSORPTION,LONG,46855.14,46857.28,46799.0,46846.03,BEAR,16.29,0.325,0.6156,0.0378,46800.0,0,0,0,1,NO,NO
2022-01-01 01:25,BTCUSDT,1m,NONE,—,46846.04,46869.16,46809.15,46812.19,BEAR,17.7336,0.354,-3.648,0.2057,46810.0,0,0,0,1,N/A,NO
2022-01-01 01:26,BTCUSDT,1m,BULL_ABSORPTION,LONG,46812.19,46816.69,46780.86,46806.42,BEAR,11.0306,0.22,4.2742,0.3875,46780.0,0,0,0,2,NO,NO
2022-01-01 01:27,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46806.42,46838.0,46798.74,46801.24,BEAR,8.9944,0.179,1.2184,0.1355,46800.0,0,0,0,1,YES,NO
2022-01-01 01:28,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46801.24,46815.39,46790.64,46793.26,BEAR,12.8645,0.256,7.5695,0.5884,46790.0,5,0,0,3,NO,NO
2022-01-01 01:29,BTCUSDT,1m,NONE,—,46793.26,46815.34,46793.26,46815.33,BULL,6.46,0.129,0.824,0.1276,46795.0,0,0,0,1,N/A,NO
2022-01-01 01:30,BTCUSDT,1m,BULL_ABSORPTION,LONG,46815.34,46832.8,46800.29,46825.67,BULL,13.0256,0.26,0.5376,0.0413,46800.0,0,0,0,1,NO,NO
2022-01-01 01:31,BTCUSDT,1m,NONE,—,46825.67,46832.45,46806.8,46806.81,BEAR,9.0345,0.18,1.3035,0.1443,46805.0,0,0,0,1,N/A,NO
2022-01-01 01:32,BTCUSDT,1m,NONE,—,46806.81,46858.49,46806.8,46858.46,BULL,9.257,0.185,3.897,0.421,46805.0,0,0,0,1,N/A,NO
2022-01-01 01:33,BTCUSDT,1m,BULL_ABSORPTION,LONG,46858.47,46869.69,46847.29,46858.26,BEAR,5.5656,0.111,3.0648,0.5507,46845.0,4,0,0,3,NO,NO
2022-01-01 01:34,BTCUSDT,1m,BULL_ABSORPTION,LONG,46858.26,46866.19,46833.32,46845.06,BEAR,5.25,0.105,0.8344,0.1589,46835.0,0,0,0,1,YES,NO
2022-01-01 01:35,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46845.06,46874.57,46845.0,46859.38,BULL,9.981,0.199,3.0906,0.3096,46845.0,0,0,0,2,NO,NO
2022-01-01 01:36,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46859.37,46884.63,46857.53,46873.91,BULL,10.1745,0.203,-4.1485,0.4077,46860.0,0,0,0,2,YES,NO
2022-01-01 01:37,BTCUSDT,1m,DELTA_DIV,LONG,46873.9,46873.91,46840.21,46840.94,BEAR,10.808,0.215,3.2578,0.3014,46840.0,0,0,0,1,NO,NO
2022-01-01 01:38,BTCUSDT,1m,NONE,—,46840.94,46854.39,46784.38,46789.23,BEAR,18.4268,0.367,1.3776,0.0748,46785.0,0,0,0,1,N/A,NO
2022-01-01 01:39,BTCUSDT,1m,BULL_ABSORPTION,LONG,46789.23,46811.33,46753.84,46799.9,BULL,12.4839,0.249,-1.5763,0.1263,46755.0,0,0,0,2,NO,NO
2022-01-01 01:40,BTCUSDT,1m,BULL_ABSORPTION,LONG,46798.2,46804.58,46755.4,46773.92,BEAR,9.079,0.181,0.625,0.0688,46755.0,0,0,0,1,NO,NO
2022-01-01 01:41,BTCUSDT,1m,NONE,—,46776.33,46780.0,46750.0,46750.01,BEAR,43.8894,0.875,-37.059,0.8444,46750.0,0,6,0,2,N/A,NO
2022-01-01 01:42,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46750.0,46772.42,46748.05,46761.8,BULL,10.2765,0.205,0.0095,0.0009,46750.0,0,0,0,2,NO,NO
2022-01-01 01:43,BTCUSDT,1m,BULL_ABSORPTION,LONG,46761.8,46770.74,46752.85,46765.69,BULL,7.0292,0.14,0.2324,0.0331,46755.0,0,0,0,1,YES,NO
2022-01-01 01:44,BTCUSDT,1m,BULL_ABSORPTION,LONG,46765.69,46779.96,46760.49,46768.1,BULL,5.8996,0.118,3.3156,0.562,46760.0,4,0,0,3,YES,NO
